TRACT,meanHSize,percent_bachelorPlus,totalRace1,totalRace2,meanvalence
4024.06,4.03,16.3,130,2937,5.883091578
4025.01,4.33,5.1,216,3295,5.737307455
4025.02,4,6.5,379,4139,5.865051866
4026,2.78,23.6,1502,3550,5.798010584
4027.02,4.17,6.8,290,3524,5.88047076
4027.03,3.7,15.2,531,2303,5.774634261
4027.05,4.03,12,692,1847,5.935713639
4027.06,4.16,11,266,2399,5.834665286
4028.01,4.38,1.8,164,3364,5.74122548
4028.03,4.66,7.4,96,1981,5.818832549
4028.04,4.34,8.5,121,2308,5.717015885
4029.02,4.3,12,323,3880,5.759922564
4029.03,4.58,9.1,149,2627,5.861334672
4029.04,4.31,5.9,302,2407,5.801951165
4030,4.66,16.7,665,4026,5.715336998
4033.03,3.67,31.1,433,755,5.790151812
4033.04,3.08,57.6,707,740,5.779637809
4033.05,3.11,51.8,224,163,5.753335349
4033.12,3.26,36.6,950,1378,5.826584003
4033.16,2.99,47.3,1614,1043,5.782583738
4033.17,3.1,43.5,819,1053,5.796069883
4033.18,3.13,39.4,1481,1273,5.856681935
4033.19,2.81,47.9,780,767,5.893565784
4033.2,3.15,54.1,755,759,5.906023811
4033.21,3.3,46.6,1202,1083,5.763729116
4033.22,3.17,54.6,894,538,5.759028552
4033.23,3.16,54.4,1084,444,5.83578639
4033.24,3.31,60.5,1089,619,5.884235694
4033.25,3.26,54.4,1322,717,5.794774367
4034.01,3.54,48.6,587,1309,5.863240707
4034.02,3.51,47.1,539,674,5.83738436
4034.03,3.39,61.4,377,572,5.88543284
4034.04,3.48,55.9,342,229,5.710107565
4034.05,3.49,57.1,252,176,5.78837247
4034.06,3.46,37.8,480,477,5.825598266
4034.07,3.23,63.6,239,264,5.862485567
4034.08,3.29,51.2,454,937,5.921174879
4035,3.15,35.6,534,457,5.869248945
4036,3.23,28.4,1861,2660,5.810215617
4037.02,3.43,35.4,1245,1476,5.79156227
4037.03,3.25,27.4,1453,1834,5.839325781
4037.21,3.1,24.4,1465,1795,5.793213945
4037.22,3.54,19.6,849,2683,5.752944453
4038.01,3.24,24.8,1531,2384,5.80131741
4038.02,3.04,19.7,1473,2412,5.802578925
4039.01,3.69,20.7,1067,1292,5.963020888
4039.02,3.12,14.6,1888,1630,5.814182057
4040,3.58,18.2,974,2307,5.95190335
4041,4.69,11.2,583,3877,5.818293853
4042.01,3.81,13.9,467,1906,5.777672229
4042.02,3.9,16.3,1020,1693,5.921769529
4043.01,4.14,11.7,287,3943,5.820571632
4043.02,3.51,8.6,243,1103,5.791806841
4044.01,4.08,8.7,301,2399,5.85233635
4044.02,4.06,8.4,480,2660,5.769232238
4045.01,4.18,9.3,208,1586,5.857387006
4045.03,4.4,12.5,296,1692,5.781091014
4045.04,3.85,11.7,206,3344,5.887748222
4046,3.99,7.6,51,1029,5.878691397
4047.01,4.36,14.3,119,3556,5.802414358
4047.02,4.88,11,106,3357,5.770674648
4047.03,4.53,8.4,77,2204,5.781232838
4048.01,4.17,14.1,286,4617,5.981437231
4048.02,4.18,6.7,150,2412,5.808327359
4048.03,3.71,10.4,108,1097,5.846371504
4049.01,4.43,13,116,3174,5.794588465
4049.02,4.69,12.4,180,2395,5.855233479
4049.03,4.29,16.8,137,1738,5.825423859
4050.01,4.69,4.7,193,4431,5.547009714
4050.02,4.93,8.8,91,2310,5.704896742
4051.01,4.05,9.5,380,2922,5.814411539
4051.02,3.28,14.1,334,2139,5.865568741
4052.01,4.1,11.9,146,3083,5.847912622
4052.02,4.32,10.2,90,3088,5.790309634
4052.03,4.57,11.9,264,2085,5.790966094
4053.01,3.46,,416,1630,5.925681012
4053.02,4.01,12.9,624,3296,5.869273118
4054,4.15,13,973,3282,5.768847537
4055,3.56,,925,3165,5.754990473
4056,3.52,24.1,792,2918,5.765220418
4057.01,3.52,24.5,472,1975,5.823200172
4057.02,3.35,26.8,647,2400,5.80730797
4058,3.63,14.1,985,3104,5.835987411
4059,3.3,22.3,635,1763,5.663942869
4060,3.34,19.2,1220,2570,5.746868405
4061.01,3.01,23.5,759,1641,5.953598041
4061.02,2.61,21.3,1313,2226,5.865747266
4062,3.11,19.3,868,2443,5.819505788
4063,3.26,43.3,1068,1860,5.752111196
4064.02,3.73,26.9,582,1011,5.772953994
4064.11,3.83,20.6,341,942,5.826921798
4064.12,3.27,26.4,572,1096,5.625768734
4065,3.21,29.9,1028,2839,5.69814375
4066.01,3.8,25,809,2469,5.687898488
4066.02,4.46,14.5,655,2920,5.76935802
